City,State,
Washington-Arlington-Alexandria, DC-VA-MD-WV,5
Waterloo-Cedar Falls, IA,215
Watertown-Fort Drum, NY,264
Wausau, WI,237
Weirton-Steubenville, WV-OH,352
Wenatchee, WA,332
Wheeling, WV-OH,242
Wichita, KS,81
Wichita Falls, TX,267
Williamsport, PA,333
Wilmington, NC,162
Winchester, VA-WV,260
Winston-Salem, NC,89
Worcester, MA-CT,66
Yakima, WA,214
York-Hanover, PA,130
Youngstown-Warren-Boardman, OH-PA,122
Yuba City, CA,284
Yuma, AZ,258
